state.x,county.x,date,n_episodes,n_events,total_property_damage,total_injuries,total_deaths,label,month,season,days_since_last_damaging_flood,days_since_prev_flood,min.2,max.2,mean.2,min.1,max.1,mean.1,min,max,mean,builtup,forest,agriculture,other,impervious,total_pop.x,median_income,area_km2,pop_density,total_population,exposed_population,pct_exposed,pct_age_65plus,pct_less_hs,pct_below_poverty,pct_hispanic,pct_nh_black,road_density_km_per_km2
VIRGINIA,Galax city,2018/9/8,1,1,2000000,0,0,1,9,Fall,1869,1853,0,0,0,0,0,0,72.80999756,79.83999634,75.43129017,60.39,25.64,13.17,0.81,18.36,6402,35184,21.55746598,296.9736798340853,6402,4266,66.64,19.871603463720515,11.301881158554792,22.43953418931024,15.780830098536876,4.882054344580472,9.674202227
VIRGINIA,Galax city,2018/10/10,1,1,0,0,0,0,10,Fall,32,32,4.0399999619999996,11.56999969,6.180967715,7.28000021,10.30000019,8.652258104,98.26000214,104.25,100.1683871,60.39,25.64,13.17,0.81,18.36,6402,35184,21.55746598,296.9736798340853,6402,4266,66.64,19.871603463720515,11.301881158554792,22.43953418931024,15.780830098536876,4.882054344580472,9.674202227
VIRGINIA,Galax city,2018/10/11,1,1,455000,0,0,1,10,Fall,33,1,7.28000021,10.30000019,8.652258104,98.26000214,104.25,100.1683871,63.99000168,68.65000153,65.80516138,60.39,25.64,13.17,0.81,18.36,6402,35184,21.55746598,296.9736798340853,6402,4266,66.64,19.871603463720515,11.301881158554792,22.43953418931024,15.780830098536876,4.882054344580472,9.674202227
VIRGINIA,Galax city,2019/4/19,1,1,0,0,0,0,4,Spring,190,190,0,0,0,12.149999619999999,15.15999985,13.94999999,57.13000107,61.11000061,58.62387097,60.39,25.64,13.17,0.81,18.36,6402,35184,21.55746598,296.9736798340853,6402,4266,66.64,19.871603463720515,11.301881158554792,22.43953418931024,15.780830098536876,4.882054344580472,9.674202227
VIRGINIA,Giles County,2016/6/27,1,1,0,0,0,0,6,Summer,1054,1054,0,0,0,0,0,0,9.270000458,30.69000053,14.46264047,6.38,78.87,13.07,1.68,1.12,16760,57279,941.5626492856172,17.800196314834867,16760,879,5.25,22.034918723660446,6.429861529199277,8.838049367850692,1.6857314870559903,2.245635159542444,2.689231131
VIRGINIA,Giles County,2017/10/23,1,2,0,0,0,0,10,Fall,1537,483,0,0,0,0,0,0,59.70999908,99.95999908,76.23179786,6.38,78.87,13.07,1.68,1.12,16760,57279,941.5626492856172,17.800196314834867,16760,879,5.25,22.034918723660446,6.429861529199277,8.838049367850692,1.6857314870559903,2.245635159542444,2.689231131
VIRGINIA,Giles County,2017/10/23,1,2,0,0,0,0,10,Fall,1537,483,0,0,0,0,0,0,59.70999908,99.95999908,76.23179786,6.38,78.87,13.07,1.68,1.12,16760,57279,941.5626492856172,17.800196314834867,16760,879,5.25,22.034918723660446,6.429861529199277,8.838049367850692,1.6857314870559903,2.245635159542444,2.689231131
VIRGINIA,Giles County,2018/9/22,1,1,5000,0,0,1,9,Fall,1871,334,0,0,0,0,0,0,35.38000107,55.04000092,44.70213489,6.38,78.87,13.07,1.68,1.12,16760,57279,941.5626492856172,17.800196314834867,16760,879,5.25,22.034918723660446,6.429861529199277,8.838049367850692,1.6857314870559903,2.245635159542444,2.689231131
VIRGINIA,Giles County,2020/4/13,1,1,20000,0,0,1,4,Spring,569,569,0,0,0,41.88999939,75.65000153,58.89758414,0,9.130000114,2.8008427,6.38,78.87,13.07,1.68,1.12,16760,57279,941.5626492856172,17.800196314834867,16760,879,5.25,22.034918723660446,6.429861529199277,8.838049367850692,1.6857314870559903,2.245635159542444,2.689231131
VIRGINIA,Giles County,2024/9/30,1,1,0,0,0,0,9,Fall,1631,1631,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.38,78.87,13.07,1.68,1.12,16760,57279,941.5626492856172,17.800196314834867,16760,879,5.25,22.034918723660446,6.429861529199277,8.838049367850692,1.6857314870559903,2.245635159542444,2.689231131
VIRGINIA,Giles County,2025/2/15,1,1,0,0,0,0,2,Winter,1769,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.38,78.87,13.07,1.68,1.12,16760,57279,941.5626492856172,17.800196314834867,16760,879,5.25,22.034918723660446,6.429861529199277,8.838049367850692,1.6857314870559903,2.245635159542444,2.689231131
VIRGINIA,Gloucester County,2022/7/9,1,1,0,0,0,0,7,Summer,NA,8009,0,0,0,0,9.050000191,0.596516132,21.20999908,53.95999908,39.34287092,10.1,36.42,10.66,42.849999999999994,2.17,37362,71649,642.7079669618523,58.13215631,37362,365,0.98,20.32986642194351,6.457122463546447,6.676353624961762,4.043030488426634,8.137044967880085,3.937338093
