CZ_NAME,date_dt,STATE,injuries,fatalities,damage_property,n_episodes,n_events,label,month,season,prev_damage_date,prcp_min_d0,prcp_min_d1,prcp_min_d2,prcp_max_d0,prcp_max_d1,prcp_max_d2,prcp_avg_d0,prcp_avg_d1,prcp_avg_d2
ALLEGANY COUNTY,1999-05-07,MARYLAND,0,0,15000.0,1,1,1,5,Spring,1998-05-04,17.2999992370605,0.0,0.0,21.0900001525879,0.540000021457672,0.0,19.2227272925439,0.0124675327694261,0.0
ALLEGANY COUNTY,2000-07-31,MARYLAND,0,0,2000.0,1,2,1,7,Summer,1999-05-07,23.1299991607666,9.1899995803833,0.270000010728836,27.0799999237061,12.2200002670288,2.61999988555908,25.328181799356,10.2694805442513,1.20805194896537
ALLEGANY COUNTY,2000-08-06,MARYLAND,0,0,250000.0,1,1,1,8,Summer,2000-07-31,60.7999992370605,0.0,0.0,77.120002746582,0.0,0.0,67.9703895767014,0.0,0.0
ALLEGANY COUNTY,2000-09-11,MARYLAND,0,0,2000000.0,1,1,1,9,Fall,2000-08-06,23.9400005340576,4.1100001335144,0.0,29.9300003051758,9.38000011444092,0.0,27.4953246178565,6.44909090190739,0.0
ALLEGANY COUNTY,2001-06-07,MARYLAND,0,0,150000.0,1,1,1,6,Summer,2000-09-11,7.26000022888184,40.4799995422363,1.60000002384186,13.539999961853,43.6500015258789,3.32999992370605,9.51285721419694,42.1797402121804,2.30389609429743
ALLEGANY COUNTY,2002-05-27,MARYLAND,0,0,500000.0,1,1,1,5,Spring,2001-06-07,3.90000009536743,0.0,0.0,6.25,0.0,0.0,4.73467533309738,0.0,0.0
ALLEGANY COUNTY,2010-05-28,MARYLAND,0,0,0.0,1,2,0,5,Spring,,15.5500001907349,0.0,0.0,28.4599990844727,0.0,0.0,21.5120779755828,0.0,0.0
ALLEGANY COUNTY,2010-12-01,MARYLAND,0,0,0.0,1,1,0,12,Winter,,2.5699999332428,51.8300018310547,7.48999977111816,4.53000020980835,57.7799987792969,8.02000045776367,3.23870130328389,54.9244154397543,7.76389611851085
ALLEGANY COUNTY,2011-05-17,MARYLAND,0,0,0.0,1,2,0,5,Spring,,40.689998626709,14.710000038147,2.28999996185303,53.0400009155273,20.1100006103516,3.04999995231628,45.9546754019601,17.0300000302203,2.59753247050496
ALLEGANY COUNTY,2011-05-18,MARYLAND,0,0,0.0,1,2,0,5,Spring,,13.0,40.689998626709,14.710000038147,26.6200008392334,53.0400009155273,20.1100006103516,18.5537661886834,45.9546754019601,17.0300000302203
ALLEGANY COUNTY,2011-05-27,MARYLAND,0,0,0.0,1,6,0,5,Spring,,22.8299999237061,27.3199996948242,0.0,31.9899997711182,30.5499992370605,0.0,27.7323376791818,28.8814285327862,0.0
ALLEGANY COUNTY,2013-09-11,MARYLAND,0,0,0.0,1,1,0,9,Fall,,7.80999994277954,0.0,0.0,20.4400005340576,0.0,0.0,12.7779220729679,0.0,0.0
ALLEGANY COUNTY,2014-06-12,MARYLAND,0,0,0.0,1,5,0,6,Summer,,41.5299987792969,9.90999984741211,4.32999992370605,44.2200012207031,14.7700004577637,4.84000015258789,42.6341558183943,12.1637662293075,4.68727275303432
ALLEGANY COUNTY,2018-08-02,MARYLAND,0,0,0.0,1,6,0,8,Summer,,29.4200000762939,12.1099996566772,24.5100002288818,38.2299995422363,13.4899997711182,26.7299995422363,32.3767531754135,12.6214285392266,25.5779220531513
ALLEGANY COUNTY,2021-09-01,MARYLAND,0,0,0.0,1,1,0,9,Fall,,79.5299987792969,30.0200004577637,0.740000009536743,91.2099990844727,31.5499992370605,9.90999984741211,85.2274028233119,30.749090937825,3.9418181800223
ALLEGANY COUNTY,2022-08-04,MARYLAND,0,0,0.0,1,2,0,8,Summer,,4.51000022888184,0.0,0.0,16.5699996948242,0.0,0.0,9.24584417219286,0.0,0.0
ALLEGANY COUNTY,2024-08-29,MARYLAND,0,0,0.0,1,2,0,8,Summer,,,,,,,,,,
ALLEGHANY COUNTY,1996-01-19,VIRGINIA,0,0,3500000.0,1,1,1,1,Winter,,0.0,35.5699996948242,0.0,0.0,50.0299987792969,0.0,0.0,40.3006655332848,0.0
ALLEGHANY COUNTY,1997-06-01,VIRGINIA,0,0,2000.0,1,2,1,6,Summer,1996-01-19,21.7000007629395,5.67999982833862,0.0,41.5299987792969,17.1000003814697,0.0,30.8929118126284,7.54128119156087,0.0
ALLEGHANY COUNTY,2001-05-22,VIRGINIA,0,0,100000.0,1,1,1,5,Spring,1997-06-01,18.5799999237061,17.3299999237061,3.23000001907349,32.5099983215332,32.6500015258789,17.6000003814697,24.4674542247753,22.2641597531996,7.85001664629792
ALLEGHANY COUNTY,2006-06-25,VIRGINIA,0,0,15000.0,1,1,1,6,Summer,2001-05-22,40.5299987792969,14.0600004196167,4.84000015258789,75.9400024414062,22.1299991607666,14.1899995803833,56.2660731602826,16.9134109801738,7.43806987435568
ALLEGHANY COUNTY,2009-05-16,VIRGINIA,0,0,4000.0,1,1,1,5,Spring,2006-06-25,17.6800003051758,0.0,8.6899995803833,26.3400001525879,0.0,14.3400001525879,21.1740598980083,0.0,12.0591181375818
ALLEGHANY COUNTY,2010-01-25,VIRGINIA,0,0,410000.0,1,2,1,1,Winter,2009-05-16,3.46000003814697,41.7700004577637,0.0,19.9200000762939,64.1900024414062,0.0,9.80031613026205,48.5350249127025,0.0
ALLEGHANY COUNTY,2010-05-28,VIRGINIA,0,0,250000.0,1,1,1,5,Spring,2010-01-25,14.6199998855591,0.0,0.0,48.5499992370605,19.3999996185303,0.0,30.2546589402311,0.613311136026747,0.0
ALLEGHANY COUNTY,2010-12-01,VIRGINIA,0,0,60000.0,1,2,1,12,Winter,2010-05-28,0.0,43.5900001525879,8.72999954223633,0.0,62.1800003051758,19.7999992370605,0.0,49.5882195775798,10.2943094939043
ALLEGHANY COUNTY,2013-01-30,VIRGINIA,0,0,0.0,1,1,0,1,Winter,,52.0200004577637,0.0,0.600000023841858,64.3000030517578,0.0,2.23000001907349,55.0118303029192,0.0,1.62073210818994
ALLEGHANY COUNTY,2016-06-23,VIRGINIA,3,0,6100000.0,1,1,1,6,Summer,2010-12-01,87.1600036621094,8.5600004196167,3.99000000953674,149.220001220703,23.6599998474121,23.5900001525879,115.270798643496,15.8127620604986,15.8882529227785
ALLEGHANY COUNTY,2016-06-27,VIRGINIA,0,0,2000.0,1,2,1,6,Summer,2016-06-23,12.8800001144409,0.0,0.0,26.9599990844727,0.0,0.0,16.1216139991748,0.0,0.0
ALLEGHANY COUNTY,2020-06-17,VIRGINIA,0,0,0.0,1,1,0,6,Summer,,36.5499992370605,12.7200002670288,6.48999977111816,65.8499984741211,22.0799999237061,11.3299999237061,51.7292513157088,16.367670525727,8.09044925543711
ALLEGHANY COUNTY,2020-06-19,VIRGINIA,0,0,0.0,1,1,0,6,Summer,,9.21000003814697,0.0,36.5499992370605,24.7000007629395,7.59000015258789,65.8499984741211,12.9880865131956,3.23048253034469,51.7292513157088
AMELIA COUNTY,1999-09-16,VIRGINIA,0,0,8000.0,1,1,1,9,Fall,,19.2600002288818,79.9800033569336,3.97000002861023,65.6900024414062,105.5,12.5,35.1059701881598,93.4768905449862,7.22905473329535
AMELIA COUNTY,2018-10-11,VIRGINIA,0,0,0.0,1,2,0,10,Fall,,115.730003356934,0.0,0.0,149.339996337891,25.4300003051758,0.0,129.218681904807,13.1600746058706,0.0
AMELIA COUNTY,2023-08-28,VIRGINIA,0,0,0.0,1,1,0,8,Summer,,18.7399997711182,2.51999998092651,6.65000009536743,54.560001373291,11.5,40.3199996948242,37.4251491916713,6.55238806845537,27.2906716296922
AMELIA COUNTY,2024-09-30,VIRGINIA,0,0,0.0,1,1,0,9,Fall,,,,,,,,,,
AMHERST COUNTY,1996-09-06,VIRGINIA,0,0,250000.0,1,1,1,9,Fall,,67.5400009155273,34.4000015258789,21.3199996948242,90.0199966430664,47.4799995422363,24.2900009155273,79.4312943887556,39.768306328898,23.2549190850448
AMHERST COUNTY,2002-04-17,VIRGINIA,0,0,0.0,1,1,0,4,Spring,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMHERST COUNTY,2002-09-03,VIRGINIA,0,0,0.0,1,1,0,9,Fall,,0.0,0.0,0.0,26.9799995422363,0.0,0.0,0.114714131771939,0.0,0.0
AMHERST COUNTY,2003-08-10,VIRGINIA,0,0,0.0,1,1,0,8,Summer,,8.19999980926514,7.40999984741211,13.4499998092651,17.7900009155273,12.9399995803833,20.5200004577637,11.9533225535832,10.0653721666387,16.8747896628601
AMHERST COUNTY,2005-11-29,VIRGINIA,0,0,325000.0,1,1,1,11,Fall,1996-09-06,38.8499984741211,20.2800006866455,2.98000001907349,52.6100006103516,36.5200004577637,9.60999965667725,45.7119201487322,26.7057820827315,5.55583602993748
AMHERST COUNTY,2009-05-14,VIRGINIA,0,0,5000.0,1,1,1,5,Spring,2005-11-29,20.0599994659424,0.0,0.0,35.8699989318848,0.0,0.0,27.0064077634513,0.0,0.0
AMHERST COUNTY,2010-01-25,VIRGINIA,0,0,900000.0,1,4,1,1,Winter,2009-05-14,0.0,54.4900016784668,0.0,28.9500007629395,108.75,6.0,9.93896441758,82.1062890127896,0.058252427184466
