state,county,date,n_episodes,n_events,total_property_damage,total_injuries,total_deaths,label,month,season,days_since_last_damaging_flood,days_since_prev_flood,impervious,exposed_population,pct_exposed,pct_age_65plus,pct_less_hs,pct_below_poverty,pct_hispanic,pct_nh_black,min.2,max.2,mean.2,min.1,max.1,mean.1,min,max,mean,population,population_density,Forest,Agriculture,Urban,Suburban,Rural,Median_Household_Income,road_density_km_per_km2
virginia,bedford county,2024-09-25,1,1,0.0,0,0,0,9,Fall,1099.0,48.0,1.59,4462,5.65,22.70790240984873,5.640840331946071,8.010815660278615,2.7088992448974505,5.969795898023775,,,,,,,,,,,,,,,,,,
virginia,bland county,2016-06-27,1,1,75000.0,0,0,1,6,Summer,1050.0,1050.0,0.53,116,1.83,24.50491064240863,7.148607309611979,10.75511189824505,0.6601191434551602,4.636934471099662,0.0,0.0,0.0,0.0,0.0,0.0,9.14000034332275,18.4699993133545,12.3542917666929,6472.0,6.9868523082249245,77.925,17.49,0.011,0.685,3.09,47800.0,2.09853839833835
virginia,bland county,2023-05-29,1,1,25000.0,0,0,1,5,Spring,2527.0,2527.0,0.53,116,1.83,24.50491064240863,7.148607309611979,10.75511189824505,0.6601191434551602,4.636934471099662,1.77999997138977,5.51000022888184,4.21530655120946,49.6800003051758,62.25,54.9360676900529,16.8899993896484,41.3199996948242,28.2469344471776,6179.0,6.670543945074445,77.123,17.489,0.013,0.698,3.131,61375.0,1.91739046942256
virginia,bland county,2025-02-15,1,1,20000.0,0,1,1,2,Winter,628.0,628.0,0.53,116,1.83,24.50491064240863,7.148607309611979,10.75511189824505,0.6601191434551602,4.636934471099662,,,,,,,,,,,,,,,,,,
virginia,botetourt county,2016-06-23,1,1,0.0,0,0,0,6,Summer,1895.0,1067.0,1.43,1667,4.98,23.63099631,4.162361623616236,6.013284132841329,2.370479704797048,2.3616236162361623,0.75,21.1800003051758,9.74498211948304,2.66000008583069,20.0400009155273,8.19065296969815,48.4099998474121,98.129997253418,70.6122987061366,33252.0,23.71925553602695,73.729,16.682,0.11,2.249,5.537,61470.0,3.45018559949151
virginia,botetourt county,2018-05-30,1,1,5000.0,0,0,1,5,Spring,2601.0,706.0,1.43,1667,4.98,23.63099631,4.162361623616236,6.013284132841329,2.370479704797048,2.3616236162361623,0.0,8.3100004196167,2.3008318390574,0.280000001192093,10.5200004577637,2.35391770777741,5.98999977111816,16.3600006103516,9.30863148539139,33352.0,23.79058735226665,73.616,16.623,0.115,2.263,5.589,68410.0,3.4260359515532
virginia,botetourt county,2018-09-17,1,1,230330.0,0,0,1,9,Fall,110.0,110.0,1.43,1667,4.98,23.63099631,4.162361623616236,6.013284132841329,2.370479704797048,2.3616236162361623,3.78999996185303,17.7600002288818,7.50827370517369,50.0699996948242,69.1699981689453,56.5336493046851,3.19000005722046,19.1900005340576,9.1180500941541,33352.0,23.79058735226665,73.616,16.623,0.115,2.263,5.589,68410.0,3.4260359515532
virginia,botetourt county,2018-10-11,1,1,0.0,0,0,0,10,Fall,24.0,24.0,1.43,1667,4.98,23.63099631,4.162361623616236,6.013284132841329,2.370479704797048,2.3616236162361623,1.98000001907349,11.7799997329712,5.12796064907408,12.2200002670288,36.3400001525879,23.3279695707058,31.8299999237061,79.3499984741211,50.942933807646,33352.0,23.79058735226665,73.616,16.623,0.115,2.263,5.589,68410.0,3.4260359515532
virginia,botetourt county,2020-04-13,1,1,33000.0,0,0,1,4,Spring,574.0,550.0,1.43,1667,4.98,23.63099631,4.162361623616236,6.013284132841329,2.370479704797048,2.3616236162361623,0.0,0.0,0.0,51.7700004577637,82.1100006103516,64.9549642538982,1.08000004291534,21.1900005340576,5.42838103496111,33643.0,23.9981629375242,73.528,16.551,0.118,2.29,5.641,72719.0,3.43364667274032
virginia,botetourt county,2021-09-22,1,6,35000.0,0,0,1,9,Fall,527.0,527.0,1.43,1667,4.98,23.63099631,4.162361623616236,6.013284132841329,2.370479704797048,2.3616236162361623,0.0,11.1999998092651,3.97479425581282,54.2999992370605,75.2600021362305,65.7290071033621,23.7199993133545,94.0,51.5114848455931,33998.0,24.251390885175155,73.432,16.539,0.119,2.304,5.657,72941.0,3.43364667274039
virginia,botetourt county,2021-09-22,1,6,35000.0,0,0,1,9,Fall,527.0,527.0,1.43,1667,4.98,23.63099631,4.162361623616236,6.013284132841329,2.370479704797048,2.3616236162361623,0.0,11.1999998092651,3.97479425581282,54.2999992370605,75.2600021362305,65.7290071033621,23.7199993133545,94.0,51.5114848455931,33998.0,24.251390885175155,73.432,16.539,0.119,2.304,5.657,72941.0,3.43364667274039
virginia,botetourt county,2021-09-22,1,6,35000.0,0,0,1,9,Fall,527.0,527.0,1.43,1667,4.98,23.63099631,4.162361623616236,6.013284132841329,2.370479704797048,2.3616236162361623,0.0,11.1999998092651,3.97479425581282,54.2999992370605,75.2600021362305,65.7290071033621,23.7199993133545,94.0,51.5114848455931,33998.0,24.251390885175155,73.432,16.539,0.119,2.304,5.657,72941.0,3.43364667274039
